;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
271;9780553383447;The Cobweb;Neal Stephenson;448;2005-05-31;3,61;2465;137
272;9780380816033;The Big U;Neal Stephenson;308;2001-02-06;3,25;4657;223
273;9780553380965;The Diamond Age: Or  A Young Lady's Illustrated Primer;Neal Stephenson;499;2000-05-02;4,19;71042;2767
274;9780553383430;Interface;Neal Stephenson;640;2005-05-31;3,68;4731;270
275;9780060833183;Odalisque (The Baroque Cycle  Vol. 1  Book 3);Neal Stephenson;464;2006-03-28;4,2;1567;65
276;9780553380958;Snow Crash;Neal Stephenson;438;2000-08-02;4,03;188100;6612
277;9781880685358;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame;Dan Harrington;450;2005-06-01;4,16;1474;30
278;9781880685334;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play;Dan Harrington;381;2004-12-01;4,24;1929;72
279;9780465067107;The Design of Everyday Things;Donald A. Norman;240;2002-09-19;4,17;18602;1379
280;9780465051366;Emotional Design: Why We Love (or Hate) Everyday Things;Donald A. Norman;272;2005-05-11;3,95;3702;149
281;9780465067091;The Psychology of Everyday Things;Donald A. Norman;257;1988-06-13;4,17;265;31
282;9780898709193;No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson;Alex C. Jones;259;2006-04-30;4,27;51;7
283;9780060887964;The Alchemist;Paulo Coelho;192;2006-05-02;3,86;920;76
284;9780061122415;The Alchemist;Paulo Coelho;197;1993-05-01;3,86;1631221;55843
285;9781421504605;Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9);Hiromu Arakawa;192;2006-09-19;4,57;9013;153
286;9781591169253;Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3);Hiromu Arakawa;192;2005-09-13;4,56;16666;299
287;9781421504599;Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8);Hiromu Arakawa;192;2006-07-18;4,57;11451;161
288;9781591169208;Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1);Hiromu Arakawa;192;2005-05-03;4,5;111091;1427
289;9781591169291;Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4);Hiromu Arakawa;200;2005-11-08;4,55;10752;294
290;9780060192501;The Illustrated Alchemist: A Fable about Following Your Dream;Paulo Coelho;198;1998-11-01;3,86;251;32
291;9781591169239;Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2);Hiromu Arakawa;192;2005-07-05;4,52;14923;419
292;9780812974614;Pompeii;Robert   Harris;274;2005-11-08;3,82;26922;1726
293;9781587157394;The Last Days of Pompeii;Edward Bulwer-Lytton;360;2002-12-03;3,6;1156;68
294;9780142000670;Of Mice and Men;John Steinbeck;103;2002-01-08;3,87;1755253;25554
295;9780060554736;The Game: Penetrating the Secret Society of Pickup Artists;Neil Strauss;464;2005-09-06;3,74;20529;1592
296;9780142401200;The Westing Game;Ellen Raskin;182;2004-04-12;4,02;142121;8782
297;9780808553038;The Egypt Game;Zilpha Keatley Snyder;215;2009-07-07;3,83;30231;1130
298;9781400096893;Memoirs of a Geisha;Arthur Golden;503;2005-11-22;4,11;280309;3703
299;9780739326220;Memoirs of a Geisha;Arthur Golden;434;2005-11-15;4,11;1301083;19296
300;9780099498186;Memoirs of a Geisha;Arthur Golden;497;2005-12-01;4,11;2122;256
301;9781557046833;Memoirs of a Geisha: A Portrait of the Film;David        James;144;2005-10-20;4,08;145;8
302;9780099771517;Memoirs of a Geisha;Arthur Golden;497;1998-06-04;4,11;4189;462
303;9780743430593;Geisha of Gion;Mineko Iwasaki;334;2003-05-06;3,93;1556;158
304;9781932664393;Love As A Foreign Language #5;J. Torres;58;2006-02-01;3,44;9;2
305;9780521750844;Jungle Love;Margaret Johnson;95;2002-08-01;3,41;59;7
306;9780802415318;The 5 Love Languages / The 5 Love Languages Journal;Gary Chapman;0;2005-01-01;4,7;22;4
307;9781416524793;Angels & Demons (Robert Langdon  #1);Dan Brown;736;2006-04-01;3,89;2418736;21303
308;9788495618771;Ángeles y demonios (Robert Langdon  #1);Dan Brown;508;2005-12-01;3,89;196;20
309;9780972859899;Angeles & Demonios;Dan Brown;18;2005-12-01;3,89;65;7
310;9780307277671;The Da Vinci Code (Robert Langdon  #2);Dan Brown;489;2006-03-28;3,84;1679706;35877
311;9780767926034;The Da Vinci Code;Dan Brown;467;2006-03-28;3,84;1120;105
312;9782266144346;Da Vinci Code (Robert Langdon  #2);Dan Brown;744;2005-05-03;3,84;377;16
313;9781416524809;Deception Point;Dan Brown;736;2006-04-01;3,71;4919;410
314;9780552151764;Deception Point;Dan Brown;585;2004-05-01;3,71;3353;183
315;9780593055076;Deception Point;Dan Brown;448;2005-08-01;3,71;61;4
316;9780786016068;A Killing Rain (Louis Kincaid  #6);P.J. Parrish;383;2005-02-01;4,04;456;41
317;9780671015206;The Millionaire Next Door: The Surprising Secrets of America's Wealthy;Thomas J. Stanley;258;1998-10-01;4,03;61760;2600
318;9781585424337;Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century;Napoleon Hill;320;2005-09-01;4,18;88897;2334
319;9781932429237;Think and Grow Rich;Napoleon Hill;368;2004-08-07;4,18;48;9
320;9780977616657;Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series);Mike   Mason;256;2006-06-07;3,58;173;14
321;9781563410901;Read My Lips: Sexual Subversion and the End of Gender;Riki Anne Wilchins;288;2005-06-01;3,95;253;17
322;9780345479174;Trump: The Art of the Deal;Donald J. Trump;384;2004-12-28;3,66;12748;948
323;9780451205360;The Richest Man in Babylon;George S. Clason;194;2008-02-01;4,26;76451;3400
324;9781419349997;The Richest Man in Babylon;George S. Clason;4;2005-06-17;4,26;86;15
325;9781400098033;Shibumi;Trevanian;480;2005-05-10;4,21;9498;637
326;9780743226721;1776;David McCullough;386;2006-07-04;4,07;166916;6243
327;9780140481396;1776;Peter  Stone;192;1976-11-18;4,22;1299;30
328;9780226014906;The Crescent Obscured: The United States and the Muslim World  1776-1815;Robert J. Allison;284;2000-07-15;3,62;31;5
329;9781416500186;The Good Earth (House of Earth  #1);Pearl S. Buck;418;2009-03-04;3,98;200744;7656
330;9780310258971;Purpose Driven Life - For Commuters: What on Earth Am I Here For?;Rick Warren;5;2005-03-15;3,93;26;2
331;9780060838584;Fast Food Nation: The Dark Side of the All-American Meal;Eric Schlosser;399;2005-07-05;3,74;190039;4922
332;9780141006871;Fast Food Nation: What The All-American Meal is Doing to the World;Eric Schlosser;384;2002-04-04;3,74;811;77
333;9780812968064;Snow Flower and the Secret Fan;Lisa See;269;2006-02-21;4,07;297533;14935
334;9780385340540;The Broker;John Grisham;422;2006-09-26;3,78;72361;2334
335;9780394720241;The Power Broker: Robert Moses and the Fall of New York;Robert A. Caro;1344;1975-07-12;4,51;11208;1237
336;9780345480606;The Power Broker: A Novel (Christian Gillette  #3);Stephen W. Frey;320;2006-07-25;3,75;28;1
337;9780060193393;Body For Life: 12 Weeks to Mental and Physical Strength;Bill Phillips;201;1999-06-10;3,74;3877;275
338;9781579546014;Body for Life for Women: A Woman's Plan for Physical and Mental Transformation;Pamela Peeke;288;2005-04-01;3,65;401;63
339;9780972018418;Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!;Bill Phillips;405;2003-11-26;3,95;814;51
340;9780471743675;The Warren Buffett Way;Robert G. Hagstrom;245;2005-10-01;4,13;228;16
341;9780471430452;The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers;Robert P. Miles;432;2003-04-18;4,07;39;1
342;9780805431575;Monkey Business: True Story of the Scopes Trial;Marvin N. Olasky;368;2005-05-15;3,15;26;8
343;9780679838869;Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2);Barbara Park;68;1993-02-16;3,99;11178;623
344;9780373250714;Monkey Business;Sarah Mlynowski;392;2004-09-24;3,67;3379;67
345;9780140143454;Liar's Poker;Michael   Lewis;256;1990-10-01;4,15;22843;936
346;9780802732293;Liar's Poker: A Harry Garnish Mystery;Frank McConnell;214;1993-06-01;3,31;13;1
347;694055000612;Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen;Ursula Ferrigno;64;2001-03-01;4,08;8;2
348;9780307238276;Giada's Family Dinners;Giada De Laurentiis;256;2006-04-04;3,96;14103;74
349;9781400052585;Everyday Italian: 125 Simple and Delicious Recipes;Giada De Laurentiis;256;2005-02-22;3,95;40125;217
350;9780307346582;Everyday Pasta;Giada De Laurentiis;240;2007-04-03;4,09;8822;55
351;9781400052387;Tyler's Ultimate: Brilliant Simple Food to Make Any Time;Tyler Florence;256;2006-09-26;4,09;3697;34
352;9780609609972;Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook;Tyler Florence;304;2003-03-25;4,06;1426;16
353;9781400052370;Eat This Book: Cooking with Global Fresh Flavors;Tyler Florence;287;2004-10-01;3,92;275;15
354;9780061234002;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;Steven D. Levitt;320;2006-10-17;3,97;628745;13034
355;9788466625128;Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta;Steven D. Levitt;250;2006-08-01;3,97;193;23
356;9780061245138;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;Steven D. Levitt;496;2006-12-08;3,97;98;5
357;9780399153594;The Last Assassin (John Rain  #5);Barry Eisler;338;2006-06-01;4,27;189;25
358;9780156030205;Life of Pi;Yann Martel;401;2004-05-03;3,91;4318;668
359;9780828808392;L'Histoire de Pi;Yann Martel;448;2005-11-24;3,91;177;26
360;9780140285970;Shadows and Wind: A View of Modern Vietnam;Robert Templer;400;1999-09-01;3,49;102;8
361;9780307276902;A Million Little Pieces;James Frey;515;2005-09-22;3,65;206011;10821
362;9781411677319;A Million Little Pieces of Feces;Python Bonkers;256;2006-02-10;3,56;43;6
363;9780061171468;A Million Little Lies;James Pinocchio;191;2006-03-28;3,41;201;24
364;9780787968335;The Leadership Challenge;James M. Kouzes;458;2003-08-07;4,05;873;40
365;9780446394598;Lincoln on Leadership: Executive Strategies for Tough Times;Donald T. Phillips;193;1993-02-01;4,14;5354;281
366;9780131494848;Leadership in Organizations;Gary Yukl;542;2005-07-07;3,68;55;4
367;9780316861014;Leadership;Rudolph W. Giuliani;397;2002-10-01;3,72;1820;147
368;9780060574215;Men Are from Mars  Women Are from Venus;John Gray;368;2012-04-03;3,55;132062;3303
369;9780060192778;Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships;John Gray;368;1998-10-21;3,62;18;1
370;9780061232053;Men Are from Mars  Women Are from Venus;John Gray;2;2007-04-03;3,55;43;3
371;9780735200302;How to Succeed with Women;Ron  Louis;320;1998-10-29;3,76;82;13
372;9780553381672;The Clan of the Cave Bear (Earth's Children  #1);Jean M. Auel;512;2002-06-25;4,05;184418;4432
373;9780517542026;The Clan of the Cave Bear (Earth's Children  #1);Jean M. Auel;468;1980-05-04;4,05;495;67
374;9780393324815;Moneyball: The Art of Winning an Unfair Game;Michael   Lewis;317;2004-03-17;4,26;85094;4155
375;9780744005615;Juiced Official Strategy Guide;Doug Walsh;112;2005-06-01;0,0;0;0
376;9780140280197;The 48 Laws of Power;Robert Greene;452;2000-09-01;4,18;60946;3167
377;9780553383683;Gates of Fire;Steven Pressfield;392;2005-09-27;4,42;21934;1629
378;9780553295412;Fire Sea (The Death Gate Cycle  #3);Margaret Weis;414;1992-03-01;4,07;16312;175
379;9780812590104;The Gate of Fire (Oath Of Empire Book Two);Thomas Harlan;721;2001-06-18;3,58;146;4
380;9780385516419;The Afghan Campaign;Steven Pressfield;354;2006-07-01;3,96;3002;198
381;9780553381399;Tides of War;Steven Pressfield;448;2001-08-28;3,9;3422;157
382;9780553382044;Last of the Amazons;Steven Pressfield;400;2003-07-01;3,76;2138;125
383;9780446691437;The War of Art: Break Through the Blocks & Win Your Inner Creative Battles;Steven Pressfield;168;2003-04-01;4,0;53653;4702
384;9780826413017;Gita on the Green;Stephen J. Rosen;176;2002-05-30;3,78;14;2
385;9780811701648;Blood Stripes: The Grunt's View of the War in Iraq;David J. Danelo;340;2006-04-24;3,91;85;6
386;9780140442755;Phaedrus and Letters VII and VIII;Plato;160;1973-01-30;4,1;226;20
387;9780192802774;Phaedrus;Plato;128;2003-01-16;3,92;29;6
388;9780140449747;Phaedrus;Plato;176;2005-08-25;3,92;236;22
389;9780879756321;Lysis/Phaedrus/Symposium: Plato on Homosexuality;Plato;157;1991-12-01;4,47;14;0
390;9781890318239;Enthusiasm and Divine Madness;Josef Pieper;125;2019-02-11;4,5;26;4
391;9780872207882;On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws;Plato;272;2006-06-15;4,06;154;4
392;9780801435300;Gorgias/Phaedrus (Agora);Plato;233;1998-09-01;4,35;18;1
393;9780872204621;Statesman;Plato;128;1999-03-15;3,85;28;7
394;9780140449044;Gorgias;Plato;208;2004-01-29;3,95;8186;198
395;9780140449082;The Histories;Herodotus;716;2003-01-30;3,99;34727;597
396;9780140446388;The Histories;Herodotus;622;1954-09-01;3,99;227;18
397;9780879757779;The History (Great Minds);Herodotus;613;1992-11-01;3,99;2;0
398;9780192824257;The Histories;Herodotus;772;1998-11-19;3,99;271;41
399;9780140440348;The Histories;Herodotus;653;1970-08-30;3,99;143;17
400;9780393959468;The Histories;Herodotus;464;1992-01-17;3,99;40;5
401;9780375400612;The Histories;Herodotus;816;1997-03-25;3,99;132;10
402;9780226327709;The History;Herodotus;710;1987-03-14;3,99;36;6
403;9780140275360;The Iliad;Homer;683;1999-04-29;3,86;288792;3423
404;9780872203525;Iliad;Homer;574;1997-03-12;3,86;1058;137
405;9780374529055;The Iliad;Homer;588;2004-04-03;3,86;692;81
406;9780147712554;The Iliad/The Odyssey;Homer;1556;1999-11-01;4,04;54939;380
407;9780140447941;The Iliad;Homer;462;2003-01-30;3,86;1919;118
408;9780451527370;The Iliad;Homer;312;1999-08-01;3,86;158;15
409;9780872205420;The Essential Iliad;Homer;216;2000-09-15;3,86;212;18
410;9780143039952;The Odyssey;Homer;541;2006-11-30;3,76;760871;6557
411;9780374525743;The Odyssey;Homer;515;1998-11-05;3,76;1713;179
412;9780060931957;The Odyssey;Homer;374;1999-06-01;3,76;1131;78
413;9780140449112;The Odyssey;Homer;324;2003-01-30;3,76;2543;167
414;9780451527363;The Odyssey;Homer;304;1999-08-01;3,76;262;24
415;9780865165847;Aeneid: Selections from Books 1  2  4  6  10  12;Virgil;161;2001-01-01;4,35;69;6
416;9780674995833;Eclogues. Georgics. Aeneid: Books 1-6;Virgil;607;1999-10-01;4,22;414;10
417;9781891190230;City Eclogue;Ed Roberson;136;2006-01-30;4,13;67;7
418;9780192837684;The Eclogues and The Georgics;Virgil;180;1999-09-02;3,8;259;15
419;9781558321250;Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas;Paul  Kirk;272;1997-12-03;3,94;55;0
420;9780141000589;The Complete Pelican Shakespeare;William Shakespeare;1808;2002-11-07;4,5;578;25
421;9780517092941;The Complete Works;William Shakespeare;1248;1991-10-13;4,5;62;6
422;9780521618748;Hamlet;William Shakespeare;289;2005-08-01;4,02;609271;7139
423;9781557831576;The Compleat Works of Wllm Shkspr (abridged);Reduced Shakespeare Company;137;1994-02-01;4,44;8159;118
424;9780062512796;The Pilgrimage: A Contemporary Quest for Ancient Wisdom;Paulo Coelho;272;1995-05-01;3,64;888;92
425;9780062513342;The Valkyries;Paulo Coelho;212;1996-09-28;3,31;1204;79
426;9780060527983;Warrior of the Light;Paulo Coelho;142;2004-03-30;3,7;22662;945
427;9780060832810;The Zahir;Paulo Coelho;336;2006-07-03;3,57;58917;2575
428;9780061122095;By the River Piedra I Sat Down and Wept;Paulo Coelho;208;2006-05-23;3,57;70760;2702
429;9780060930134;The Fifth Mountain;Paulo Coelho;256;2000-04-26;3,62;1415;68
430;9780061124266;Veronika Decides to Die;Paulo Coelho;210;2006-06-01;3,7;132064;5452
431;9780140714548;Hamlet;William Shakespeare;148;2001-12-01;4,02;1658;125
432;9780764586033;Cliffs Notes on Shakespeare's Hamlet;Carla Lynn Stockton;129;2000-05-30;3,69;65;6
433;9780764585685;Shakespeare's Hamlet;William Shakespeare;240;2000-05-29;4,02;102;16
434;9780879232153;Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth;Giorgio De Santillana;450;2015-03-24;4,29;489;57
435;9780674991200;History of the Peloponnesian War: Bk. 1-2;Thucydides;496;1919-01-01;4,32;208;7
436;9780872201682;On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War;Thucydides;172;1993-10-01;3,72;610;15
437;9780674991224;History of the Peloponnesian War: Bk. 5-6;Thucydides;400;1921-01-01;4,35;38;0
438;9780872203945;The Peloponnesian War;Thucydides;530;1998-06-01;3,9;154;21
439;9780393971675;The Peloponnesian War: A New Translation  Backgrounds  Interpretations;Thucydides;554;1998-07-17;3,9;24;4
440;9780674991873;History of the Peloponnesian War  Bk. 7-8;Thucydides;480;1923-01-01;4,29;35;0
441;9780929524351;Thucydides  Book 6 Commentary;Cynthia W. Shelmerdine;34;1989-01-30;4,5;2;0
442;9780226307800;Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus;Euripides;221;1955-02-15;4,03;4483;56
443;9780226307848;Euripides V: Electra / The Phoenician Women / The Bacchae;Euripides;228;1969-01-15;4,21;3334;46
444;9780226307831;Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis;Euripides;307;1968-11-15;4,21;560;8
445;9781590171806;Grief Lessons: Four Plays by Euripides;Anne Carson;312;2006-08-01;4,4;679;85
446;9780553213638;Ten Plays;Euripides;432;1990-08-01;4,17;1464;21
447;9780226307824;Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7);Euripides;255;1992-01-15;4,0;541;15
448;9780226307817;Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen;Euripides;264;2002-04-15;4,31;790;12
449;9780140449297;Medea and Other Plays;Euripides;206;2003-03-27;4,03;9197;120
450;9780674995604;Cyclops / Alcestis / Medea;Euripides;432;1994-01-01;4,23;61;4
451;9780521643863;Medea;Euripides;431;2002-09-16;3,87;201;9
452;9780140447262;The Bacchae and Other Plays;Euripides;360;2006-01-26;4,14;164;8
453;9780195125986;Bakkhai;Euripides;160;2001-02-22;3,88;154;13
454;9780413752802;Plays 1: Medea/The Phoenician Women/Bacchae;Euripides;192;2000-11-09;3,78;9;0
455;9780486424620;The Trojan Women and Hippolytus;Euripides;64;2002-07-17;3,63;34;4
456;9780393325836;The Bacchae of Euripides: A Communion Rite;Wole Soyinka;128;2004-07-17;3,86;116;6
457;9780192832603;Orestes and Other Plays;Euripides;282;2001-12-20;4,1;158;2
458;9780674995338;Children of Heracles / Hippolytus / Andromache / Hecuba;Euripides;528;1995-02-15;4,26;27;5
459;9780195061666;Alcestis;Euripides;142;1990-02-01;3,83;1950;95
460;9780674995666;Suppliant Women / Electra / Heracles;Euripides;464;1998-09-01;4,47;30;4
461;9780195145663;Medea;Euripides;116;2006-08-10;3,87;367;35
462;9780715631874;Euripides: Medea;William Allan;160;2002-10-31;4,04;23;1
463;9780822004240;CliffsNotes on Euripides' Medea and Electra;Robert J. Milch;69;1965-09-13;4,2;5;0
464;9780674995741;Trojan Women / Iphigenia Among the Taurians / Ion;Euripides;528;1999-12-01;4,03;29;2
465;9780674996007;Helen / Phoenician Women / Orestes;Euripides;605;2002-06-15;4,07;25;3
466;9780715629949;Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy);Euripides;144;2006-03-09;4,03;12;1
467;9780226307664;The Complete Greek Tragedies  Volume 3: Euripides;Euripides;672;1992-08-01;4,43;46;7
468;9780226307787;Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides);Aeschylus;171;1969-05-15;4,02;712;53
469;9780226307947;Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies);Aeschylus;188;1992-02-01;4,1;389;26
470;9780195135923;The Oresteia;Aeschylus;304;2004-10-07;4,02;77;7
